x,y,z,time,label
10.02435425,0.089813232,-0.124541016,6-30,1
9.843530273,0.117355957,0.364042969,6-30,1
10.12255005,0.043110352,-0.00239502,6-30,1
9.926158447,0.125738525,0.286204834,6-30,1
9.928553467,0.063468018,0.288599854,6-30,1
10.00758911,0.071850586,-0.008382568,6-30,1
9.887838135,0.141306152,0.638272705,6-30,1
10.0435144,0.077838135,-0.106578369,6-30,1
9.959688721,0.041912842,0.041912842,6-30,1
10.21954834,0.082628174,-0.197589111,6-30,1
9.756112061,0.141306152,0.76760376,6-30,1
10.12015503,0.079035645,-0.120948486,6-30,1
10.03992188,0.093405762,0.227526855,6-30,1
9.855505371,0.092208252,0.655037842,6-30,1
10.1656604,0.055085449,-0.105380859,6-30,1
9.783654785,0.098195801,0.576002197,6-30,1
10.13452515,0.086220703,-0.040715332,6-30,1
10.2147583,0.058677979,0.058677979,6-30,1
9.958491211,0.041912842,0.337697754,6-30,1
9.915380859,0.075443115,0.073048096,6-30,1
9.766889648,0.083825684,0.525706787,6-30,1
10.23990601,0.096998291,-0.075443115,6-30,1
10.1656604,0.022752686,-0.00239502,6-30,1
9.735754395,0.069455566,0.5640271,6-30,1
10.01237915,0.035925293,-0.096998291,6-30,1
10.14889526,0.058677979,0.057480469,6-30,1
10.2027832,0.014370117,-0.111368408,6-30,1
9.899813232,0.106578369,0.3556604,6-30,1
10.16087036,0.032332764,0.067060547,6-30,1
9.765692139,0.126936035,0.495769043,6-30,1
10.08662476,0.062270508,-0.05149292,6-30,1
10.07464966,0.086220703,-0.074245605,6-30,1
9.883048096,0.047900391,-0.047900391,6-30,1
9.75850708,0.143701172,0.568817139,6-30,1
10.14171021,0.061072998,0.130528564,6-30,1
10.06866211,0.041912842,0.032332764,6-30,1
10.04710693,0.089813232,0.251477051,6-30,1
9.885443115,0.159268799,0.66342041,6-30,1
9.744136963,0.132923584,0.638272705,6-30,1
10.09380981,0.124541016,0.116158447,6-30,1
10.2518811,0.085023193,-0.171243896,6-30,1
10.10817993,0.075443115,-0.022752686,6-30,1
9.81119751,0.05149292,0.453856201,6-30,1
9.873468018,0.05149292,0.573607178,6-30,1
10.0794397,0.028740234,-0.117355957,6-30,1
9.802814941,0.076640625,0.45984375,6-30,1
10.0435144,0.029937744,-0.028740234,6-30,1
9.86269043,0.076640625,0.585582275,6-30,1
10.03632935,0.126936035,0.120948486,6-30,1
9.827962646,0.069455566,0.525706787,6-30,1
9.841135254,0.092208252,0.603544922,6-30,1
9.81239502,0.129331055,0.723295898,6-30,1
9.857900391,0.058677979,0.71491333,6-30,1
10.03393433,0.094603271,-0.082628174,6-30,1
9.974058838,0.10059082,0.007185059,6-30,1
10.2267334,0.086220703,-0.142503662,6-30,1
10.23751099,0.070653076,-0.107775879,6-30,1
10.1896106,0.075443115,-0.067060547,6-30,1
9.81239502,0.053887939,0.487386475,6-30,1
10.00399658,0.081430664,-0.099393311,6-30,1
9.854307861,0.059875488,0.529299316,6-30,1
9.96208374,0.096998291,0.057480469,6-30,1
9.689051514,0.089813232,0.680185547,6-30,1
10.18003052,0.080233154,0.063468018,6-30,1
10.0554895,0.044307861,-0.041912842,6-30,1
10.00758911,0.098195801,0.094603271,6-30,1
9.813592529,0.123343506,0.61552002,6-30,1
10.20757324,0.082628174,-0.156873779,6-30,1
9.754914551,0.071850586,0.546064453,6-30,1
10.14290771,0.099393311,0.062270508,6-30,1
10.24230103,0.073048096,-0.161663818,6-30,1
10.10937744,0.089813232,0.058677979,6-30,1
10.01118164,0.108973389,0.319735107,6-30,1
10.21356079,0.110170898,0.076640625,6-30,1
10.02914429,0.119750977,0.182021484,6-30,1
10.0674646,0.043110352,0.226329346,6-30,1
10.05908203,0.082628174,-0.159268799,6-30,1
9.801617432,0.0490979,0.616717529,6-30,1
9.741741943,0.122145996,0.504151611,6-30,1
10.03872437,0.094603271,0.273032227,6-30,1
10.07464966,0.080233154,0.057480469,6-30,1
9.904603271,0.05149292,0.35685791,6-30,1
10.13452515,0.092208252,-0.158071289,6-30,1
10.04710693,0.076640625,-0.140108643,6-30,1
10.21356079,0.070653076,-0.15088623,6-30,1
9.824370117,0.120948486,0.549656982,6-30,1
10.12614258,0.088615723,-0.135318604,6-30,1
9.920170898,0.124541016,0.317340088,6-30,1
10.1776355,0.064665527,0.013172607,6-30,1
9.923763428,0.117355957,0.694555664,6-30,1
9.721384277,0.046702881,0.720900879,6-30,1
9.853110352,0.087418213,0.649050293,6-30,1
10.07704468,0.093405762,-0.005987549,6-30,1
9.740544434,0.10178833,0.646655273,6-30,1
10.05788452,0.023950195,-0.116158447,6-30,1
10.03273682,0.095800781,0.199984131,6-30,1
10.03153931,0.037122803,0.161663818,6-30,1
10.03632935,0.10418335,0.080233154,6-30,1
9.733359375,0.079035645,0.728085938,6-30,1
10.07824219,0.05269043,0.023950195,6-30,1
9.892628174,0.132923584,0.393980713,6-30,1
10.08782227,0.068258057,-0.093405762,6-30,1
9.872270508,0.129331055,0.659827881,6-30,1
10.11895752,0.107775879,-0.123343506,6-30,1
9.881850586,0.046702881,0.343685303,6-30,1
9.787247314,0.076640625,0.590372314,6-30,1
9.789642334,0.0490979,0.525706787,6-30,1
9.954898682,0.10178833,-0.061072998,6-30,1
9.872270508,0.112565918,0.649050293,6-30,1
10.22194336,0.091010742,-0.144898682,6-30,1
9.869875488,0.079035645,0.581989746,6-30,1
10.03273682,0.076640625,-0.083825684,6-30,1
9.750124512,0.087418213,0.532891846,6-30,1
10.04590942,0.089813232,-0.0490979,6-30,1
9.893825684,0.135318604,0.295784912,6-30,1
10.16446289,0.093405762,-0.045505371,6-30,1
9.942923584,0.055085449,0.326920166,6-30,1
10.27702881,0.128133545,-0.198786621,6-30,1
9.8590979,0.113763428,0.66581543,6-30,1
10.16925293,0.085023193,-0.105380859,6-30,1
9.789642334,0.171243896,0.681383057,6-30,1
10.03872437,0.059875488,-0.059875488,6-30,1
9.789642334,0.105380859,0.470621338,6-30,1
10.11536499,0.071850586,-0.096998291,6-30,1
9.838740234,0.113763428,0.435893555,6-30,1
9.800419922,0.134121094,0.626297607,6-30,1
10.09021729,0.079035645,0.033530273,6-30,1
9.856702881,0.091010742,0.653840332,6-30,1
10.10937744,0.064665527,-0.119750977,6-30,1
9.75970459,0.05269043,0.56043457,6-30,1
10.05788452,0.080233154,-0.119750977,6-30,1
9.945318604,0.099393311,0.05149292,6-30,1
10.00998413,0.076640625,-0.020357666,6-30,1
10.04710693,0.085023193,-0.10418335,6-30,1
10.06027954,0.117355957,0.144898682,6-30,1
9.948911133,0.095800781,0.287402344,6-30,1
9.820777588,0.034727783,0.641865234,6-30,1
9.802814941,0.123343506,0.567619629,6-30,1
9.845925293,0.131726074,0.702938232,6-30,1
9.824370117,0.033530273,0.674197998,6-30,1
9.745334473,0.092208252,0.603544922,6-30,1
10.08303223,0.120948486,-0.10059082,6-30,1
9.980046387,0.110170898,-0.025147705,6-30,1
9.7609021,0.124541016,0.56043457,6-30,1
10.06506958,0.0490979,-0.142503662,6-30,1
9.869875488,0.058677979,0.447868652,6-30,1
10.01477417,0.022752686,-0.014370117,6-30,1
9.721384277,0.088615723,0.587977295,6-30,1
10.02914429,0.044307861,-0.142503662,6-30,1
